id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
HN_01310,Nộm Mai Nga,Ẩm thực,nhà hàng,21.0192721,105.8528021,"Quán Nộm Mai Nga, 25 Phố Lê Văn Hưu, Hàng Bài, Hoàn Kiếm, Hà Nội, 11612",Hà Nội,Hà Nội,"Nộm Mai Nga là nhà hàng tại Hà Nội, Hà Nội.",Nộm Mai Nga Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01311,Pizza Hut,Ẩm thực,nhà hàng,21.0139665,105.8340501,"Pizza Hut, Phố Nam Đồng, Phương Liên, Đống Đa, Hà Nội, 11522",Hà Nội,Hà Nội,"Pizza Hut là nhà hàng tại Hà Nội, Hà Nội.",Pizza Hut Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01312,Cà Phê Góc Phố,Ẩm thực,quán cà phê,20.9693267,105.7546976,"Mộc Coffee, La Khê, Hà Đông, Hà Nội, 12113",Hà Nội,Hà Nội,"Cà Phê Góc Phố là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Góc Phố Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01313,Trung Hoa Đệ Nhất Sủi Cảo,Ẩm thực,nhà hàng,21.0292976,105.8123813,"Trung Hoa Đệ Nhất Sủi Cảo, Đường Nguyễn Chí Thanh, Ngọc Khánh, Ba Đình, Hà Nội, 11109",Hà Nội,Hà Nội,"Trung Hoa Đệ Nhất Sủi Cảo là nhà hàng tại Hà Nội, Hà Nội.",Trung Hoa Đệ Nhất Sủi Cảo Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01314,Cà Phê DC,Ẩm thực,quán cà phê,21.0116455,105.8083871,"Dịch Vụ Rửa Xe Văn Mùi, 151 Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy, Hà Nội, 11313",Hà Nội,Hà Nội,"Cà Phê DC là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê DC Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01315,Noble Moment Café,Ẩm thực,quán cà phê,21.0789823,105.7931127,"Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Hà Nội,Hà Nội,"Noble Moment Café là quán cà phê tại Hà Nội, Hà Nội.",Noble Moment Café Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01316,Nhà Hàng Lanterne,Ẩm thực,nhà hàng,21.034417,105.8534813,"Nhà Cổ Mã Mây, 87 Phố Mã Mây, Hà Nội Old Quarter, Hàng Buồm, Hoàn Kiếm, Hà Nội, 11010",Hà Nội,Hà Nội,"Nhà Hàng Lanterne là nhà hàng tại Hà Nội, Hà Nội.",Nhà Hàng Lanterne Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01317,Cà Phê Ashtray,Ẩm thực,quán cà phê,21.0105712,105.8062484,"Nhà Nghỉ Trường Thành, 12 Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy, Hà Nội",Hà Nội,Hà Nội,"Cà Phê Ashtray là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Ashtray Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01318,Khách Sạn & Căn Hộ Newstyle,Du lịch,khách sạn,21.0111646,105.8083433,"Newstyle House Hotel, Ngõ 141 Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy, Hà Nội, 11313",Hà Nội,Hà Nội,"Khách Sạn & Căn Hộ Newstyle là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn & Căn Hộ Newstyle Du lịch khách sạn Hà Nội Hà Nội
HN_01319,Nhà Hàng Cugini,Ẩm thực,nhà hàng,21.0680065,105.8224879,"ATM - Ngân Hàng Sài Gòn Công Thương - SAIGONBANK, Đường Tô Ngọc Vân, Quảng An, Tây Hồ, Hà Nội, 11207",Hà Nội,Hà Nội,"Nhà Hàng Cugini là nhà hàng tại Hà Nội, Hà Nội.",Nhà Hàng Cugini Ẩm thực nhà hàng Hà Nội Hà Nội
